source_url,source_name,source_page_type,extraction_timestamp,race_id,runner_id,horse_no,horse_name,comment_type,comment_text,post_race_only,raw_value
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-3,3,CHILL PARTNERS (K484),incident,Bumped on jumping. After travelling a short distance was then hampered when bumped by SHOOTING TO TOP. Sent for sampling post-race.,true,1|3|CHILL PARTNERS (K484)|Bumped on jumping. After travelling a short distance was then hampered when bumped by SHOOTING TO TOP. Sent for sampling post-race.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-7,7,CALIFORNIA BAY (K364),incident,Sent for sampling post-race.,true,2|7|CALIFORNIA BAY (K364)|Sent for sampling post-race.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-2,2,MR COOL (K184),incident,Raced wide and without cover from the 800 Metres.,true,3|2|MR COOL (K184)|Raced wide and without cover from the 800 Metres.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-12,12,GASTRONOMIQUE (K388),incident,Jumped awkwardly.,true,4|12|GASTRONOMIQUE (K388)|Jumped awkwardly.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-13,13,FIGHT TIME (H409),incident,A Atzeni stated that he was able to settle closer today from a more favourable barrier position.,true,5|13|FIGHT TIME (H409)|A Atzeni stated that he was able to settle closer today from a more favourable barrier position.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-10,10,WINNING CHAMPION (K429),incident,No report.,true,6|10|WINNING CHAMPION (K429)|No report.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-4,4,SHOOTING TO TOP (L039),incident,Shortly after the start was crowded by WIN SPEED which shifted in.,true,7|4|SHOOTING TO TOP (L039)|Shortly after the start was crowded by WIN SPEED which shifted in.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-11,11,DECISION LINK (K416),incident,Shifted out at the start and was bumped.,true,8|11|DECISION LINK (K416)|Shifted out at the start and was bumped.
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-1,1,THE ABSOLUTE (H438),incident,"Jumped only fairly and then was bumped by DECISION LINK which shifted out. L Ferraris reported that after settling back in the field his mount finished the race off only fairly. A veterinary inspection immediately following the race found that horse to be a ""roarer” which had previously been reported.",true,"9|1|THE ABSOLUTE (H438)|Jumped only fairly and then was bumped by DECISION LINK which shifted out. L Ferraris reported that after settling back in the field his mount finished the race off only fairly. A veterinary inspection immediately following the race found that horse to be a ""roarer” which had previously been reported."
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Comments on Running,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,2026-03-01-ST-2-8,8,FIGHTING MACHINE (J015),incident,Bumped on jumping.,true,10|8|FIGHTING MACHINE (J015)|Bumped on jumping.
