feature_name,feature_tag,usable_for_prediction
race_id,pre_race,True
runner_id,pre_race,True
race_date,pre_race,True
racecourse,pre_race,True
race_no,pre_race,True
horse_no,pre_race,True
horse_name,pre_race,True
draw_num,pre_race,True
carried_weight_num,pre_race,True
handicap_rating_num,pre_race,True
jockey,pre_race,True
trainer,pre_race,True
market_odds,pre_race,True
market_implied_prob_raw,pre_race,True
target_win,target,False
pre_race_feature_set_version,pre_race,True
odds_quality_note,pre_race,True
source_url_runner,pre_race,True
source_name_runner,pre_race,True
source_page_type_runner,pre_race,True
extraction_timestamp_runner,pre_race,True
source_url_race,pre_race,True
source_name_race,pre_race,True
source_page_type_race,pre_race,True
extraction_timestamp_race,pre_race,True
