source_url,source_name,source_page_type,extraction_timestamp,runner_id,race_id,race_date,racecourse,race_no,horse_no,horse_name,horse_id_or_brand_no,draw,jockey,trainer,carried_weight,handicap_rating,rating_change,declared_body_weight,body_weight_change,gear,gear_change,odds,finish_position,beaten_margin,race_time,sectional_time,running_position,comments_or_notes,raw_horse,raw_finish_time,raw_running_position
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-3,2026-03-01-ST-2,2026-03-01,ST,2,3,CHILL PARTNERS,K484,11,C L Chau,K W Lui,126,,,1242,,,,9,1,-,1:21.96,,3 3 3 1,,CHILL PARTNERS (K484),1:21.96,3 3 3 1
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-7,2026-03-01-ST-2,2026-03-01,ST,2,7,CALIFORNIA BAY,K364,4,Z Purton,A S Cruz,125,,,1075,,,,2.9,2,SH,1:21.98,,1 1 1 2,,CALIFORNIA BAY (K364),1:21.98,1 1 1 2
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-2,2026-03-01-ST-2,2026-03-01,ST,2,2,MR COOL,K184,14,D B McMonagle,F C Lor,132,,,1063,,,,10,3,N,1:22.02,,12 12 10 3,,MR COOL (K184),1:22.02,12 12 10 3
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-12,2026-03-01-ST-2,2026-03-01,ST,2,12,GASTRONOMIQUE,K388,9,M Guyon,J Size,119,,,1084,,,,15,4,N,1:22.02,,8 8 7 4,,GASTRONOMIQUE (K388),1:22.02,8 8 7 4
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-13,2026-03-01-ST-2,2026-03-01,ST,2,13,FIGHT TIME,H409,8,A Atzeni,D J Hall,117,,,1088,,,,18,5,1/2,1:22.06,,6 6 6 5,,FIGHT TIME (H409),1:22.06,6 6 6 5
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-10,2026-03-01-ST-2,2026-03-01,ST,2,10,WINNING CHAMPION,K429,6,H Bentley,C S Shum,120,,,1005,,,,17,6,2,1:22.27,,5 4 4 6,,WINNING CHAMPION (K429),1:22.27,5 4 4 6
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-4,2026-03-01-ST-2,2026-03-01,ST,2,4,SHOOTING TO TOP,L039,12,M F Poon,W K Mo,128,,,1174,,,,26,7,2-1/4,1:22.32,,10 10 9 7,,SHOOTING TO TOP (L039),1:22.32,10 10 9 7
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-11,2026-03-01-ST-2,2026-03-01,ST,2,11,DECISION LINK,K416,2,A Badel,C Fownes,118,,,1175,,,,4.9,8,2-1/2,1:22.36,,4 5 5 8,,DECISION LINK (K416),1:22.36,4 5 5 8
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-1,2026-03-01-ST-2,2026-03-01,ST,2,1,THE ABSOLUTE,H438,3,L Ferraris,K H Ting,135,,,1147,,,,11,9,3-3/4,1:22.54,,13 13 13 9,,THE ABSOLUTE (H438),1:22.54,13 13 13 9
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-8,2026-03-01-ST-2,2026-03-01,ST,2,8,FIGHTING MACHINE,J015,10,R Kingscote,P C Ng,124,,,1084,,,,32,10,3-3/4,1:22.57,,11 11 12 10,,FIGHTING MACHINE (J015),1:22.57,11 11 12 10
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-14,2026-03-01-ST-2,2026-03-01,ST,2,14,WIN SPEED,J205,13,L Hewitson,B Crawford,117,,,1122,,,,9.8,11,5,1:22.77,,2 2 2 11,,WIN SPEED (J205),1:22.77,2 2 2 11
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-6,2026-03-01-ST-2,2026-03-01,ST,2,6,WHOWROTETHATSONG,L048,5,Y L Chung,C H Yip,124,,,964,,,,190,12,8,1:23.23,,14 14 14 12,,WHOWROTETHATSONG (L048),1:23.23,14 14 14 12
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-5,2026-03-01-ST-2,2026-03-01,ST,2,5,REGROWTH WINNER,L140,7,B Avdulla,J Richards,126,,,1233,,,,204,13,11-3/4,1:23.85,,9 9 11 13,,REGROWTH WINNER (L140),1:23.85,9 9 11 13
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2-9,2026-03-01-ST-2,2026-03-01,ST,2,9,MAGIC SUPER,K330,1,J Orman,K L Man,124,,,1173,,,,160,14,14,1:24.20,,7 7 8 14,,MAGIC SUPER (K330),1:24.20,7 7 8 14
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-8,2026-03-01-ST-3,2026-03-01,ST,3,8,CIRCUIT FIERY,H475,1,Z Purton,W Y So,123,,,1098,,,,1.7,1,-,1:22.01,,2 1 1 1,,CIRCUIT FIERY (H475),1:22.01,2 1 1 1
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-14,2026-03-01-ST-3,2026-03-01,ST,3,14,THE ALL ROUNDER,K402,2,M F Poon,P C Ng,117,,,1052,,,,42,2,1-3/4,1:22.30,,8 3 3 2,,THE ALL ROUNDER (K402),1:22.30,8 3 3 2
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-2,2026-03-01-ST-3,2026-03-01,ST,3,2,REZEKI,J340,8,A Atzeni,D J Hall,134,,,1078,,,,8.6,3,2-1/4,1:22.37,,4 4 2 3,,REZEKI (J340),1:22.37,4 4 2 3
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-6,2026-03-01-ST-3,2026-03-01,ST,3,6,FRANCIS MEYNELL,J394,3,C L Chau,D Eustace,124,,,1099,,,,9,4,3-1/2,1:22.57,,3 5 6 4,,FRANCIS MEYNELL (J394),1:22.57,3 5 6 4
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-5,2026-03-01-ST-3,2026-03-01,ST,3,5,TYCOON EXPRESS,K376,11,C Y Ho,C Fownes,127,,,1113,,,,17,5,4-1/4,1:22.70,,13 11 11 5,,TYCOON EXPRESS (K376),1:22.70,13 11 11 5
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-10,2026-03-01-ST-3,2026-03-01,ST,3,10,SWAGGER BRO,K089,13,M Guyon,J Richards,121,,,1157,,,,16,6,4-1/2,1:22.72,,6 10 9 6,,SWAGGER BRO (K089),1:22.72,6 10 9 6
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-11,2026-03-01-ST-3,2026-03-01,ST,3,11,AQUAMAN,K523,10,M Chadwick,C W Chang,120,,,1185,,,,36,7,4-1/2,1:22.73,,7 7 5 7,,AQUAMAN (K523),1:22.73,7 7 5 7
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-4,2026-03-01-ST-3,2026-03-01,ST,3,4,KINGDOM OF RICHES,K079,14,M L Yeung,C S Shum,127,,,1191,,,,94,8,4-1/2,1:22.74,,14 14 13 8,,KINGDOM OF RICHES (K079),1:22.74,14 14 13 8
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-13,2026-03-01-ST-3,2026-03-01,ST,3,13,ONE LOVE,K584,4,H T Mo,J Size,114,,,1112,,,,105,9,4-1/2,1:22.74,,12 6 7 9,,ONE LOVE (K584),1:22.74,12 6 7 9
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-12,2026-03-01-ST-3,2026-03-01,ST,3,12,BLAZING BEAM,K103,12,R Kingscote,K H Ting,120,,,1082,,,,54,10,5-1/2,1:22.88,,9 12 12 10,,BLAZING BEAM (K103),1:22.88,9 12 12 10
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-7,2026-03-01-ST-3,2026-03-01,ST,3,7,MULTISUPERSTAR,L163,7,Y L Chung,A S Cruz,123,,,1115,,,,179,11,5-1/2,1:22.90,,10 9 10 11,,MULTISUPERSTAR (L163),1:22.90,10 9 10 11
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-1,2026-03-01-ST-3,2026-03-01,ST,3,1,RYUI KOKOROE,L120,6,H Bentley,D A Hayes,135,,,1110,,,,6,12,6-1/4,1:23.03,,5 8 8 12,,RYUI KOKOROE (L120),1:23.03,5 8 8 12
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-3,2026-03-01-ST-3,2026-03-01,ST,3,3,GAZELEY,K253,9,L Hewitson,K W Lui,133,,,1104,,,,62,13,7-1/4,1:23.17,,11 13 14 13,,GAZELEY (K253),1:23.17,11 13 14 13
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3-9,2026-03-01-ST-3,2026-03-01,ST,3,9,MONEY TYCOON,K423,5,K C Leung,F C Lor,121,,,1161,,,,68,14,21-1/2,1:25.44,,1 2 4 14,,MONEY TYCOON (K423),1:25.44,1 2 4 14
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-11,2026-03-01-ST-4,2026-03-01,ST,4,11,WARRIORS DREAM,K255,6,L Hewitson,B Crawford,124,,,1092,,,,15,1,-,1:10.07,,3 5 1,,WARRIORS DREAM (K255),1:10.07,3 5 1
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-1,2026-03-01-ST-4,2026-03-01,ST,4,1,ALSONSO,J405,7,L Ferraris,M Newnham,135,,,1204,,,,43,2,1/2,1:10.13,,1 1 2,,ALSONSO (J405),1:10.13,1 1 2
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-3,2026-03-01-ST-4,2026-03-01,ST,4,3,GOLD PATCH,L099,13,J McDonald,K W Lui,135,,,1140,,,,1.6,3,1-1/4,1:10.25,,2 2 3,,GOLD PATCH (L099),1:10.25,2 2 3
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-6,2026-03-01-ST-4,2026-03-01,ST,4,6,DAILY ACCLAIM,L273,8,A Badel,C Fownes,129,,,1133,,,,20,4,1-1/2,1:10.30,,11 8 4,,DAILY ACCLAIM (L273),1:10.30,11 8 4
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-9,2026-03-01-ST-4,2026-03-01,ST,4,9,PRECISION HOPE,L047,11,B Avdulla,D A Hayes,126,,,1077,,,,81,5,1-3/4,1:10.35,,12 11 5,,PRECISION HOPE (L047),1:10.35,12 11 5
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-14,2026-03-01-ST-4,2026-03-01,ST,4,14,ALWAYS FLUKE,H252,12,H Bentley,W Y So,117,,,1077,,,,15,6,2-1/2,1:10.45,,9 7 6,,ALWAYS FLUKE (H252),1:10.45,9 7 6
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-5,2026-03-01-ST-4,2026-03-01,ST,4,5,BEST FARM,K579,1,C L Chau,K L Man,127,,,1131,,,,55,7,3,1:10.56,,6 9 7,,BEST FARM (K579),1:10.56,6 9 7
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-2,2026-03-01-ST-4,2026-03-01,ST,4,2,FIND MY LOVE,H110,9,D B McMonagle,D J Whyte,135,,,1176,,,,24,8,3-1/4,1:10.57,,7 10 8,,FIND MY LOVE (H110),1:10.57,7 10 8
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-10,2026-03-01-ST-4,2026-03-01,ST,4,10,VICTORY CHAMPION,K240,2,K C Leung,F C Lor,124,,,1141,,,,6.9,9,4-1/2,1:10.77,,4 6 9,,VICTORY CHAMPION (K240),1:10.77,4 6 9
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-13,2026-03-01-ST-4,2026-03-01,ST,4,13,SUPER MASTERMIND,K541,4,M Chadwick,J Richards,123,,,1193,,,,229,10,5-1/4,1:10.91,,8 12 10,,SUPER MASTERMIND (K541),1:10.91,8 12 10
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-4,2026-03-01-ST-4,2026-03-01,ST,4,4,MOTOR,K165,14,H Bowman,W K Mo,134,,,1193,,,,32,11,5-3/4,1:10.99,,10 3 11,,MOTOR (K165),1:10.99,10 3 11
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-8,2026-03-01-ST-4,2026-03-01,ST,4,8,GLACIATED,K272,3,C Y Ho,P C Ng,126,,,1130,,,,6.8,12,5-3/4,1:10.99,,5 4 12,,GLACIATED (K272),1:10.99,5 4 12
